Program,Fiscal years 2009-2019 total budgetary authority ($Millions),Fiscal year 2009 outlays ($Millions),,cds.id
Unemployment Insurance State Administration Grants,500,14,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Community Development Block Grant Program,"1,000",10,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Innovation & improvement,200,10,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Impact Aid,100,10,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Watershed Rehabilitation Program,50,10,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Rural Business Program,150,9,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Federal Emergency Management Agency: Firefighters,210,8,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Economic Development Administration,150,8,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Rural Community Facilities Program,130,8,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Federal Emergency Management Agency: State and Local Programs,300,6,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Higher Education Teacher Quality,100,5,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
National Endowment for the Arts,50,5,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Brownfields Projects,100,4,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Historic Preservation Fund,15,2,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Lead Hazard Reduction,100,1,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Surface Transportation Supplemental Grants,"1,500",0,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Temporary Assistance for Needy Families: Supplemental Grants,319,0,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Veterans Affairs: State Extended Care Facilities,150,0,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
